Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,22/08/2025 18:30,Allianz Arena,Bayern Munich,RB Leipzig,6 - 0
2,1,23/08/2025 13:30,Voith-Arena,Heidenheim,Wolfsburg,1 - 3
4,1,23/08/2025 13:30,An der Alten Försterei,Union Berlin,Stuttgart,2 - 1
7,1,23/08/2025 13:30,Europa-Park Stadion,Sport-Club Freiburg,Augsburg,1 - 3
8,1,23/08/2025 13:30,Deutsche Bank Park,Ein Frankfurt,Werder Bremen,4 - 1
9,1,23/08/2025 13:30,BayArena,Leverkusen,Hoffenheim,1 - 2
3,1,23/08/2025 16:30,Millerntor-Stadion,St Pauli,Dortmund,3 - 3
6,1,24/08/2025 13:30,Mewa Arena,1. FSV Mainz 05,FC Koln,0 - 1
5,1,24/08/2025 15:30,Borussia-Park,Borussia Mönchengladbach,Hamburg,0 - 0
10,2,29/08/2025 18:30,Volksparkstadion,Hamburg,St Pauli,0 - 2
12,2,30/08/2025 13:30,PreZero Arena,Hoffenheim,Ein Frankfurt,1 - 3
15,2,30/08/2025 13:30,MHPArena,Stuttgart,Borussia Mönchengladbach,1 - 0
16,2,30/08/2025 13:30,Weserstadion,Werder Bremen,Leverkusen,3 - 3
17,2,30/08/2025 13:30,Red Bull Arena,RB Leipzig,Heidenheim,2 - 0
13,2,30/08/2025 16:30,WWK Arena,Augsburg,Bayern Munich,2 - 3
14,2,31/08/2025 13:30,Volkswagen Arena,Wolfsburg,1. FSV Mainz 05,1 - 1
18,2,31/08/2025 15:30,Signal Iduna Park,Dortmund,Union Berlin,3 - 0
11,2,31/08/2025 17:30,RheinEnergieStadion,FC Koln,Sport-Club Freiburg,4 - 1
26,3,12/09/2025 18:30,BayArena,Leverkusen,Ein Frankfurt,3 - 1
19,3,13/09/2025 13:30,Voith-Arena,Heidenheim,Dortmund,0 - 2
21,3,13/09/2025 13:30,An der Alten Försterei,Union Berlin,Hoffenheim,2 - 4
22,3,13/09/2025 13:30,Volkswagen Arena,Wolfsburg,FC Koln,3 - 3
24,3,13/09/2025 13:30,Mewa Arena,1. FSV Mainz 05,RB Leipzig,0 - 1
25,3,13/09/2025 13:30,Europa-Park Stadion,Sport-Club Freiburg,Stuttgart,3 - 1
27,3,13/09/2025 16:30,Allianz Arena,Bayern Munich,Hamburg,5 - 0
20,3,14/09/2025 13:30,Millerntor-Stadion,St Pauli,Augsburg,2 - 1
23,3,14/09/2025 15:30,Borussia-Park,Borussia Mönchengladbach,Werder Bremen,0 - 4
31,4,19/09/2025 18:30,MHPArena,Stuttgart,St Pauli,2 - 0
28,4,20/09/2025 13:30,Volksparkstadion,Hamburg,Heidenheim,2 - 1
29,4,20/09/2025 13:30,PreZero Arena,Hoffenheim,Bayern Munich,1 - 4
30,4,20/09/2025 13:30,WWK Arena,Augsburg,1. FSV Mainz 05,1 - 4
32,4,20/09/2025 13:30,Weserstadion,Werder Bremen,Sport-Club Freiburg,0 - 3
33,4,20/09/2025 16:30,Red Bull Arena,RB Leipzig,FC Koln,3 - 1
35,4,21/09/2025 13:30,Deutsche Bank Park,Ein Frankfurt,Union Berlin,3 - 4
36,4,21/09/2025 15:30,BayArena,Leverkusen,Borussia Mönchengladbach,1 - 1
34,4,21/09/2025 17:30,Signal Iduna Park,Dortmund,Wolfsburg,1 - 0
45,5,26/09/2025 18:30,Allianz Arena,Bayern Munich,Werder Bremen,4 - 0
38,5,27/09/2025 13:30,Voith-Arena,Heidenheim,Augsburg,2 - 1
39,5,27/09/2025 13:30,Millerntor-Stadion,St Pauli,Leverkusen,1 - 2
41,5,27/09/2025 13:30,Volkswagen Arena,Wolfsburg,RB Leipzig,0 - 1
43,5,27/09/2025 13:30,Mewa Arena,1. FSV Mainz 05,Dortmund,0 - 2
42,5,27/09/2025 16:30,Borussia-Park,Borussia Mönchengladbach,Ein Frankfurt,4 - 6
44,5,28/09/2025 13:30,Europa-Park Stadion,Sport-Club Freiburg,Hoffenheim,1 - 1
37,5,28/09/2025 15:30,RheinEnergieStadion,FC Koln,Stuttgart,1 - 2
40,5,28/09/2025 17:30,An der Alten Försterei,Union Berlin,Hamburg,0 - 0
47,6,03/10/2025 18:30,PreZero Arena,Hoffenheim,FC Koln,0 - 1
48,6,04/10/2025 13:30,WWK Arena,Augsburg,Wolfsburg,3 - 1
51,6,04/10/2025 13:30,Weserstadion,Werder Bremen,St Pauli,1 - 0
52,6,04/10/2025 13:30,Signal Iduna Park,Dortmund,RB Leipzig,1 - 1
54,6,04/10/2025 13:30,BayArena,Leverkusen,Union Berlin,2 - 0
53,6,04/10/2025 16:30,Deutsche Bank Park,Ein Frankfurt,Bayern Munich,0 - 3
50,6,05/10/2025 13:30,MHPArena,Stuttgart,Heidenheim,1 - 0
46,6,05/10/2025 15:30,Volksparkstadion,Hamburg,1. FSV Mainz 05,4 - 0
49,6,05/10/2025 17:30,Borussia-Park,Borussia Mönchengladbach,Sport-Club Freiburg,0 - 0
58,7,17/10/2025 18:30,An der Alten Försterei,Union Berlin,Borussia Mönchengladbach,
55,7,18/10/2025 13:30,RheinEnergieStadion,FC Koln,Augsburg,
56,7,18/10/2025 13:30,Voith-Arena,Heidenheim,Werder Bremen,
59,7,18/10/2025 13:30,Volkswagen Arena,Wolfsburg,Stuttgart,
60,7,18/10/2025 13:30,Red Bull Arena,RB Leipzig,Hamburg,
61,7,18/10/2025 13:30,Mewa Arena,1. FSV Mainz 05,Leverkusen,
63,7,18/10/2025 16:30,Allianz Arena,Bayern Munich,Dortmund,
62,7,19/10/2025 13:30,Europa-Park Stadion,Sport-Club Freiburg,Ein Frankfurt,
57,7,19/10/2025 15:30,Millerntor-Stadion,St Pauli,Hoffenheim,
69,8,24/10/2025 18:30,Weserstadion,Werder Bremen,Union Berlin,
64,8,25/10/2025 13:30,Volksparkstadion,Hamburg,Wolfsburg,
65,8,25/10/2025 13:30,PreZero Arena,Hoffenheim,Heidenheim,
66,8,25/10/2025 13:30,WWK Arena,Augsburg,RB Leipzig,
67,8,25/10/2025 13:30,Borussia-Park,Borussia Mönchengladbach,Bayern Munich,
71,8,25/10/2025 13:30,Deutsche Bank Park,Ein Frankfurt,St Pauli,
70,8,25/10/2025 16:30,Signal Iduna Park,Dortmund,FC Koln,
72,8,26/10/2025 14:30,BayArena,Leverkusen,Sport-Club Freiburg,
68,8,26/10/2025 16:30,MHPArena,Stuttgart,1. FSV Mainz 05,
77,9,31/10/2025 19:30,WWK Arena,Augsburg,Dortmund,
74,9,01/11/2025 14:30,Voith-Arena,Heidenheim,Ein Frankfurt,
75,9,01/11/2025 14:30,Millerntor-Stadion,St Pauli,Borussia Mönchengladbach,
76,9,01/11/2025 14:30,An der Alten Försterei,Union Berlin,Sport-Club Freiburg,
79,9,01/11/2025 14:30,Red Bull Arena,RB Leipzig,Stuttgart,
80,9,01/11/2025 14:30,Mewa Arena,1. FSV Mainz 05,Werder Bremen,
81,9,01/11/2025 17:30,Allianz Arena,Bayern Munich,Leverkusen,
73,9,02/11/2025 14:30,RheinEnergieStadion,FC Koln,Hamburg,
78,9,02/11/2025 16:30,Volkswagen Arena,Wolfsburg,Hoffenheim,
87,10,07/11/2025 19:30,Weserstadion,Werder Bremen,Wolfsburg,
82,10,08/11/2025 14:30,Volksparkstadion,Hamburg,Dortmund,
83,10,08/11/2025 14:30,PreZero Arena,Hoffenheim,RB Leipzig,
84,10,08/11/2025 14:30,An der Alten Försterei,Union Berlin,Bayern Munich,
90,10,08/11/2025 14:30,BayArena,Leverkusen,Heidenheim,
85,10,08/11/2025 17:30,Borussia-Park,Borussia Mönchengladbach,FC Koln,
88,10,09/11/2025 14:30,Europa-Park Stadion,Sport-Club Freiburg,St Pauli,
86,10,09/11/2025 16:30,MHPArena,Stuttgart,Augsburg,
89,10,09/11/2025 18:30,Deutsche Bank Park,Ein Frankfurt,1. FSV Mainz 05,
97,11,21/11/2025 19:30,Mewa Arena,1. FSV Mainz 05,Hoffenheim,
92,11,22/11/2025 14:30,Voith-Arena,Heidenheim,Borussia Mönchengladbach,
94,11,22/11/2025 14:30,WWK Arena,Augsburg,Hamburg,
95,11,22/11/2025 14:30,Volkswagen Arena,Wolfsburg,Leverkusen,
98,11,22/11/2025 14:30,Signal Iduna Park,Dortmund,Stuttgart,
99,11,22/11/2025 14:30,Allianz Arena,Bayern Munich,Sport-Club Freiburg,
91,11,22/11/2025 17:30,RheinEnergieStadion,FC Koln,Ein Frankfurt,
96,11,23/11/2025 14:30,Red Bull Arena,RB Leipzig,Werder Bremen,
93,11,23/11/2025 16:30,Millerntor-Stadion,St Pauli,Union Berlin,
103,12,28/11/2025 19:30,Borussia-Park,Borussia Mönchengladbach,RB Leipzig,
101,12,29/11/2025 14:30,PreZero Arena,Hoffenheim,Augsburg,
102,12,29/11/2025 14:30,An der Alten Försterei,Union Berlin,Heidenheim,
104,12,29/11/2025 14:30,Weserstadion,Werder Bremen,FC Koln,
108,12,29/11/2025 14:30,Allianz Arena,Bayern Munich,St Pauli,
107,12,29/11/2025 17:30,BayArena,Leverkusen,Dortmund,
100,12,30/11/2025 14:30,Volksparkstadion,Hamburg,Stuttgart,
106,12,30/11/2025 16:30,Deutsche Bank Park,Ein Frankfurt,Wolfsburg,
105,12,30/11/2025 18:30,Europa-Park Stadion,Sport-Club Freiburg,1. FSV Mainz 05,
109,13,06/12/2025 14:30,Volksparkstadion,Hamburg,Werder Bremen,
110,13,06/12/2025 14:30,RheinEnergieStadion,FC Koln,St Pauli,
111,13,06/12/2025 14:30,Voith-Arena,Heidenheim,Sport-Club Freiburg,
112,13,06/12/2025 14:30,WWK Arena,Augsburg,Leverkusen,
113,13,06/12/2025 14:30,Volkswagen Arena,Wolfsburg,Union Berlin,
114,13,06/12/2025 14:30,MHPArena,Stuttgart,Bayern Munich,
115,13,06/12/2025 14:30,Red Bull Arena,RB Leipzig,Ein Frankfurt,
116,13,06/12/2025 14:30,Mewa Arena,1. FSV Mainz 05,Borussia Mönchengladbach,
117,13,06/12/2025 14:30,Signal Iduna Park,Dortmund,Hoffenheim,
118,14,13/12/2025 14:30,PreZero Arena,Hoffenheim,Hamburg,
119,14,13/12/2025 14:30,Millerntor-Stadion,St Pauli,Heidenheim,
120,14,13/12/2025 14:30,An der Alten Försterei,Union Berlin,RB Leipzig,
121,14,13/12/2025 14:30,Borussia-Park,Borussia Mönchengladbach,Wolfsburg,
122,14,13/12/2025 14:30,Weserstadion,Werder Bremen,Stuttgart,
123,14,13/12/2025 14:30,Europa-Park Stadion,Sport-Club Freiburg,Dortmund,
124,14,13/12/2025 14:30,Deutsche Bank Park,Ein Frankfurt,Augsburg,
125,14,13/12/2025 14:30,BayArena,Leverkusen,FC Koln,
126,14,13/12/2025 14:30,Allianz Arena,Bayern Munich,1. FSV Mainz 05,
