Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,08/08/2025 20:00,Fortuna Sittard Stadion,For Sittard,Go Ahead Eagles,2 - 2
8,1,09/08/2025 16:30,Goffertstadion,Nijmegen,Excelsior,5 - 0
9,1,09/08/2025 18:45,De Kuip,Feyenoord,NAC Breda,2 - 0
2,1,09/08/2025 20:00,Abe Lenstra Stadion,Heerenveen,Volendam,1 - 1
7,1,09/08/2025 21:00,Philips Stadion,PSV,Sparta Rotterdam,6 - 1
1,1,10/08/2025 12:15,MAC³PARK Stadion,Zwolle,Twente,1 - 0
3,1,10/08/2025 14:30,AFAS Stadion,AZ,Groningen,4 - 1
6,1,10/08/2025 14:30,Johan Cruyff Arena,Ajax,Telstar,2 - 0
4,1,10/08/2025 16:45,Stadion Galgenwaard,Utrecht,Heracles,4 - 0
11,2,15/08/2025 20:00,Sportpark Schoonenberg,Telstar,Zwolle,0 - 2
14,2,16/08/2025 18:45,Van Donge & De Roo Stadion,Excelsior,Feyenoord,1 - 2
12,2,16/08/2025 20:00,Asito Stadion,Heracles,Nijmegen,1 - 4
18,2,16/08/2025 21:00,Euroborg,Groningen,Heerenveen,2 - 1
15,2,17/08/2025 12:15,De Adelaarshorst,Go Ahead Eagles,Ajax,2 - 2
13,2,17/08/2025 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Utrecht,2 - 1
16,2,17/08/2025 14:30,De Grolsch Veste,Twente,PSV,0 - 2
17,2,17/08/2025 16:45,Kras Stadion,Volendam,AZ,2 - 2
10,2,17/08/2025 20:00,Rat Verlegh Stadion,NAC Breda,For Sittard,2 - 1
27,3,23/08/2025 16:30,De Adelaarshorst,Go Ahead Eagles,Sparta Rotterdam,0 - 3
22,3,23/08/2025 18:45,Philips Stadion,PSV,Groningen,4 - 2
23,3,23/08/2025 21:00,Sportpark Schoonenberg,Telstar,Volendam,2 - 2
24,3,24/08/2025 12:15,Abe Lenstra Stadion,Heerenveen,Twente,1 - 2
19,3,24/08/2025 14:30,Goffertstadion,Nijmegen,NAC Breda,3 - 0
21,3,24/08/2025 14:30,Stadion Galgenwaard,Utrecht,Excelsior,4 - 1
26,3,24/08/2025 16:45,Johan Cruyff Arena,Ajax,Heracles,2 - 0
20,3,17/09/2025 20:00,De Kuip,Feyenoord,For Sittard,2 - 0
25,3,24/09/2025 20:00,AFAS Stadion,AZ,Zwolle,2 - 2
35,4,29/08/2025 20:00,Euroborg,Groningen,Heracles,4 - 0
32,4,30/08/2025 16:30,Kras Stadion,Volendam,Ajax,1 - 1
29,4,30/08/2025 18:45,Abe Lenstra Stadion,Heerenveen,Go Ahead Eagles,2 - 2
28,4,30/08/2025 20:00,Philips Stadion,PSV,Telstar,0 - 2
34,4,30/08/2025 21:00,Van Donge & De Roo Stadion,Excelsior,Twente,1 - 0
33,4,31/08/2025 12:15,Fortuna Sittard Stadion,For Sittard,Nijmegen,3 - 2
30,4,31/08/2025 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Feyenoord,0 - 4
36,4,31/08/2025 14:30,MAC³PARK Stadion,Zwolle,Utrecht,0 - 2
31,4,31/08/2025 16:45,Rat Verlegh Stadion,NAC Breda,AZ,0 - 1
41,5,13/09/2025 16:30,Johan Cruyff Arena,Ajax,Zwolle,3 - 1
39,5,13/09/2025 18:45,Goffertstadion,Nijmegen,PSV,3 - 5
43,5,13/09/2025 19:10,De Adelaarshorst,Go Ahead Eagles,Volendam,3 - 0
37,5,13/09/2025 21:00,De Grolsch Veste,Twente,NAC Breda,2 - 2
38,5,13/09/2025 21:00,De Kuip,Feyenoord,Heerenveen,1 - 0
44,5,14/09/2025 12:15,Van Donge & De Roo Stadion,Excelsior,Sparta Rotterdam,0 - 1
40,5,14/09/2025 14:30,Stadion Galgenwaard,Utrecht,Groningen,0 - 1
42,5,14/09/2025 14:30,Asito Stadion,Heracles,AZ,1 - 2
45,5,14/09/2025 16:45,Sportpark Schoonenberg,Telstar,For Sittard,1 - 3
54,6,19/09/2025 20:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,Twente,1 - 5
50,6,20/09/2025 16:30,Kras Stadion,Volendam,Excelsior,1 - 2
47,6,20/09/2025 18:45,Euroborg,Groningen,Telstar,2 - 0
49,6,20/09/2025 20:00,Fortuna Sittard Stadion,For Sittard,Utrecht,1 - 0
52,6,20/09/2025 21:00,Rat Verlegh Stadion,NAC Breda,Heracles,2 - 1
51,6,21/09/2025 12:15,MAC³PARK Stadion,Zwolle,Go Ahead Eagles,0 - 2
48,6,21/09/2025 14:30,Philips Stadion,PSV,Ajax,2 - 2
