Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,08/08/2025 21:30,Gaziantep Stadium,Gaziantep,Galatasaray,0 - 3
4,1,09/08/2025 19:00,Samsun 19 Mayis Stadium,Samsunspor,Genclerbirligi,2 - 1
2,1,09/08/2025 21:30,Antalya Stadium,Antalyaspor,Kasimpasa,2 - 1
8,1,10/08/2025 19:00,Rize City Stadium,Rizespor,Goztep,0 - 3
1,1,10/08/2025 21:30,Pendik Stadium,Eyupspor,Konyaspor,1 - 4
3,1,11/08/2025 21:30,Papara Park,Trabzonspor,Kocaelispor,1 - 0
5,1,17/09/2025 20:00,Atatürk Olympic Stadium,Karagumruk,Istanbul Basaksehir,0 - 2
7,1,17/09/2025 20:00,Ülker Stadium,Fenerbahce,Alanyaspor,2 - 2
9,1,24/09/2025 20:00,RHG Enertürk Enerji Stadium,Kayserispor,Besiktas,0 - 4
16,2,15/08/2025 21:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Karagumruk,3 - 0
18,2,16/08/2025 19:00,Kocaeli Stadium,Kocaelispor,Samsunspor,0 - 1
13,2,16/08/2025 21:30,Alanya Oba Stadium,Alanyaspor,Rizespor,0 - 0
15,2,16/08/2025 21:30,Gürsel Aksel Stadium,Goztep,Fenerbahce,0 - 0
11,2,17/08/2025 19:00,Konya Metropolitan Municipality Stadium,Konyaspor,Gaziantep,3 - 0
17,2,17/08/2025 19:00,Eryaman Stadium,Genclerbirligi,Antalyaspor,0 - 1
12,2,17/08/2025 21:30,Besiktas Stadyumu,Besiktas,Eyupspor,2 - 1
14,2,17/08/2025 21:30,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,1 - 1
10,2,18/08/2025 21:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,0 - 1
20,3,22/08/2025 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Besiktas,
26,3,22/08/2025 20:00,Rize City Stadium,Rizespor,Istanbul Basaksehir,
