Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Argentina,Torneo De La Liga Profesional,2025,22/08/2025,19:30,Barracas Central,Defensa y Justicia,1,1,D,2.79,3.1,2.84,2.8,3.3,4.5,2.54,3.06,2.96,2.88,3.1,3.0,2.63,3.1,2.8
Argentina,Torneo De La Liga Profesional,2025,23/08/2025,00:00,Tigre,Ind. Rivadavia,1,1,D,2.33,2.8,4.04,2.3,3.0,4.0,2.24,2.81,3.74,2.34,2.92,4.2,2.2,3.0,3.9
Argentina,Torneo De La Liga Profesional,2025,23/08/2025,18:30,San Lorenzo,Instituto,1,0,H,2.21,2.84,4.38,2.3,2.9,4.1,2.18,2.8,3.94,2.34,2.82,4.3,2.3,2.8,3.8
Argentina,Torneo De La Liga Profesional,2025,23/08/2025,21:30,Rosario Central,Newells Old Boys,1,0,H,1.88,3.07,5.57,1.83,3.2,6.25,1.78,3.05,5.52,1.86,3.2,6.2,1.75,3.0,6.25
Argentina,Torneo De La Liga Profesional,2025,24/08/2025,00:00,Atl. Tucuman,Talleres Cordoba,3,0,H,2.52,2.95,3.36,2.5,3.05,3.3,2.39,2.92,3.22,2.58,2.98,3.55,2.4,2.9,3.3
Argentina,Torneo De La Liga Profesional,2025,24/08/2025,00:00,San Martin S.J.,Gimnasia L.P.,1,0,H,2.48,2.85,3.58,2.45,2.9,3.9,2.33,2.78,3.54,2.46,2.92,3.9,2.3,2.75,3.9
Argentina,Torneo De La Liga Profesional,2025,24/08/2025,18:00,Union de Santa Fe,Huracan,1,1,D,2.26,2.88,4.1,2.25,3.1,4.0,2.18,2.89,3.77,2.32,2.98,4.2,2.2,3.1,3.7
Argentina,Torneo De La Liga Profesional,2025,24/08/2025,20:15,Argentinos Jrs,Racing Club,4,1,H,2.34,3.03,3.62,2.35,3.1,3.55,2.26,2.99,3.41,2.4,3.1,3.7,2.35,3.0,3.4
Argentina,Torneo De La Liga Profesional,2025,24/08/2025,22:15,Boca Juniors,Banfield,2,0,H,1.78,3.42,5.54,1.77,3.7,5.5,1.71,3.39,5.19,1.78,3.55,6.0,1.75,3.5,5.0
Argentina,Torneo De La Liga Profesional,2025,25/08/2025,19:00,Dep. Riestra,Sarmiento Junin,3,0,H,2.21,2.76,4.58,2.2,3.0,4.75,2.06,2.86,4.26,2.22,2.92,4.6,2.05,2.8,4.75
Argentina,Torneo De La Liga Profesional,2025,25/08/2025,21:00,Godoy Cruz,Velez Sarsfield,0,2,A,2.66,2.91,3.2,2.62,3.0,3.4,2.54,2.8,3.13,2.8,2.92,3.3,2.55,2.75,3.4
Argentina,Torneo De La Liga Profesional,2025,25/08/2025,23:00,Belgrano,Central Cordoba,0,3,A,2.07,3.13,4.29,2.15,3.2,4.75,1.97,3.08,4.21,1.97,3.25,5.2,1.91,3.1,4.75
Argentina,Torneo De La Liga Profesional,2025,25/08/2025,23:15,Estudiantes L.P.,Aldosivi,1,0,H,1.64,3.68,6.49,1.67,3.6,6.0,1.63,3.5,5.75,1.72,3.65,6.6,1.62,3.6,6.0
Argentina,Torneo De La Liga Profesional,2025,26/08/2025,01:15,Lanus,River Plate,1,1,D,3.08,2.97,2.69,2.95,3.0,2.75,2.85,2.89,2.66,2.98,3.0,2.98,2.8,2.88,2.75
