Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Denmark,Superliga,2025/2026,23/08/2025,17:00,FC Copenhagen,Odense,1,1,D,1.43,5.08,7.06,1.43,5.33,7.5,1.36,4.88,7.08,1.4,5.5,8.8,1.36,5.0,7.5
Denmark,Superliga,2025/2026,24/08/2025,13:00,Fredericia,Randers FC,1,0,H,3.03,3.88,2.24,3.1,3.95,2.16,3.01,3.69,2.08,3.3,3.9,2.22,3.1,3.6,2.1
Denmark,Superliga,2025/2026,24/08/2025,13:00,Midtjylland,Silkeborg,4,2,H,1.7,4.31,4.59,1.7,4.6,4.75,1.61,4.25,4.36,1.68,4.5,5.1,1.62,4.33,4.5
Denmark,Superliga,2025/2026,24/08/2025,15:00,Sonderjyske,Brondby,2,0,H,3.79,3.94,1.93,3.8,3.8,1.94,3.63,3.64,1.88,4.1,3.9,1.96,3.8,3.8,1.85
Denmark,Superliga,2025/2026,24/08/2025,17:00,Aarhus,Vejle,1,0,H,1.58,4.15,6.03,1.6,4.2,6.0,1.56,4.01,5.25,1.6,4.4,6.4,1.57,3.9,5.75
Denmark,Superliga,2025/2026,25/08/2025,18:00,Nordsjaelland,Viborg,1,0,H,1.95,3.88,3.78,1.9,4.0,3.8,1.85,3.82,3.57,1.92,4.2,4.0,1.85,3.9,3.75
Denmark,Superliga,2025/2026,29/08/2025,18:00,Vejle,Viborg,1,2,A,2.83,3.44,2.57,2.7,3.5,2.7,2.54,3.3,2.57,2.64,3.5,2.86,2.4,3.5,2.6
Denmark,Superliga,2025/2026,31/08/2025,13:00,Aarhus,Fredericia,4,1,H,1.44,4.97,7.1,1.44,5.0,7.0,1.41,4.64,6.45,1.45,5.2,7.6,1.36,5.0,6.5
Denmark,Superliga,2025/2026,31/08/2025,13:00,Silkeborg,Sonderjyske,0,2,A,2.19,3.81,3.18,2.12,3.95,3.3,2.02,3.68,3.16,2.14,3.95,3.45,1.97,3.7,3.3
Denmark,Superliga,2025/2026,31/08/2025,15:00,Odense,Nordsjaelland,1,2,A,2.5,3.6,2.81,2.9,3.7,2.75,2.68,3.52,2.35,2.98,3.7,2.46,2.7,3.7,2.25
