Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Finland,Veikkausliiga,2025,22/08/2025,16:00,VPS,KTP,3,2,H,1.67,4.37,4.78,1.61,4.5,4.75,1.57,4.21,4.54,1.65,4.6,5.3,1.6,4.33,4.33
Finland,Veikkausliiga,2025,23/08/2025,13:00,Ilves,Inter Turku,1,0,H,2.55,3.67,2.72,2.4,3.8,2.75,2.34,3.63,2.54,2.48,3.9,2.78,2.3,3.7,2.5
Finland,Veikkausliiga,2025,24/08/2025,13:00,HJK,Mariehamn,8,2,H,1.22,7.06,12.32,1.23,7.0,12.0,1.18,6.41,11.11,1.23,7.8,15.0,1.2,6.5,10.0
Finland,Veikkausliiga,2025,24/08/2025,16:30,Jaro,KuPS,1,3,A,5.3,4.5,1.6,5.0,4.6,1.64,4.76,4.19,1.56,5.4,4.8,1.63,4.75,4.2,1.55
Finland,Veikkausliiga,2025,25/08/2025,16:00,Haka,SJK,2,3,A,4.32,4.42,1.73,4.2,4.25,1.73,3.97,4.11,1.67,4.5,4.6,1.77,3.8,4.1,1.67
Finland,Veikkausliiga,2025,25/08/2025,17:00,Gnistan,AC Oulu,3,2,H,1.88,4.21,3.76,1.87,4.2,4.0,1.79,3.82,3.66,1.88,4.2,4.2,1.73,4.1,3.6
Finland,Veikkausliiga,2025,31/08/2025,15:00,AC Oulu,Haka,3,2,H,1.97,3.95,3.64,1.97,3.85,3.6,1.92,3.61,3.4,1.97,3.9,4.0,1.85,3.7,3.5
Finland,Veikkausliiga,2025,31/08/2025,15:00,Gnistan,Jaro,1,2,A,1.69,4.33,4.66,1.68,4.35,4.5,1.63,4.13,4.23,1.73,4.5,4.8,1.65,4.2,4.1
Finland,Veikkausliiga,2025,31/08/2025,15:00,Ilves,Mariehamn,2,1,H,1.21,6.95,13.66,1.22,7.0,12.0,1.19,6.55,10.28,1.23,8.0,14.5,1.2,6.5,10.0
Finland,Veikkausliiga,2025,31/08/2025,15:00,Inter Turku,VPS,2,1,H,1.42,5.3,6.88,1.44,4.9,6.0,1.41,4.69,5.81,1.47,5.6,6.6,1.42,4.5,6.0
Finland,Veikkausliiga,2025,31/08/2025,15:00,KTP,HJK,1,4,A,6.59,5.37,1.43,6.5,5.5,1.42,5.91,5.06,1.38,6.8,5.9,1.43,6.5,4.75,1.38
Finland,Veikkausliiga,2025,31/08/2025,15:00,SJK,KuPS,1,1,D,2.68,3.92,2.47,2.8,3.9,2.29,2.66,3.71,2.24,2.94,4.1,2.36,2.63,3.9,2.2
Finland,Veikkausliiga,2025,13/09/2025,13:00,Mariehamn,Haka,1,1,D,2.99,3.65,2.36,2.9,3.7,2.36,2.78,3.44,2.27,3.0,3.7,2.44,2.9,3.4,2.25
Finland,Veikkausliiga,2025,13/09/2025,15:00,Gnistan,Inter Turku,0,2,A,4.63,4.32,1.7,4.4,4.25,1.75,4.02,4.0,1.69,4.7,4.4,1.75,4.0,4.0,1.7
Finland,Veikkausliiga,2025,13/09/2025,15:00,VPS,KTP,2,1,H,1.84,4.29,3.86,1.9,4.25,3.85,1.79,3.91,3.66,1.87,4.3,4.1,1.9,4.0,3.4
Finland,Veikkausliiga,2025,13/09/2025,17:00,SJK,HJK,3,3,D,3.16,4.1,2.11,3.1,4.0,2.1,2.89,3.88,2.04,3.2,4.3,2.16,2.8,3.9,2.1
Finland,Veikkausliiga,2025,14/09/2025,14:00,Jaro,AC Oulu,1,2,A,2.7,3.68,2.55,2.7,3.6,2.5,2.63,3.45,2.37,2.82,3.75,2.58,2.6,3.5,2.45
Finland,Veikkausliiga,2025,14/09/2025,14:00,KuPS,Ilves,2,4,A,2.49,3.85,2.69,2.42,3.8,2.7,2.34,3.63,2.56,2.56,3.9,2.72,2.35,3.8,2.5
Finland,Veikkausliiga,2025,19/09/2025,16:00,Haka,AC Oulu,0,1,A,2.3,3.62,3.1,2.35,3.6,2.85,2.3,3.41,2.73,2.48,3.65,3.05,2.3,3.6,2.63
Finland,Veikkausliiga,2025,19/09/2025,17:00,KTP,Jaro,1,2,A,2.15,3.91,3.2,2.17,3.9,3.6,2.09,3.58,2.97,2.24,4.0,3.2,2.05,3.9,2.88
Finland,Veikkausliiga,2025,21/09/2025,16:30,Mariehamn,VPS,2,1,H,3.09,3.63,2.3,3.15,3.65,2.3,2.91,3.47,2.17,,,,2.75,3.6,2.2
Finland,Veikkausliiga,2025,23/09/2025,16:00,Ilves,Gnistan,3,2,H,1.43,5.3,6.59,1.44,5.33,6.5,1.39,4.82,6.07,1.46,5.5,7.2,1.4,5.25,5.5
Finland,Veikkausliiga,2025,23/09/2025,16:00,KuPS,SJK,3,2,H,2.25,3.91,3.01,2.18,3.8,3.25,2.05,3.62,3.05,2.18,3.9,3.35,2.0,3.7,3.1
Finland,Veikkausliiga,2025,23/09/2025,17:00,Inter Turku,HJK,0,0,D,2.2,3.86,3.12,2.2,3.75,3.14,2.12,3.56,2.94,2.26,3.9,3.2,2.1,3.6,3.0
Finland,Veikkausliiga,2025,26/09/2025,16:00,VPS,Haka,1,0,H,2.24,3.87,3.04,2.25,3.75,3.1,2.19,3.5,2.86,2.34,3.9,3.1,2.2,3.4,2.9
Finland,Veikkausliiga,2025,27/09/2025,13:00,Gnistan,KuPS,0,4,A,4.49,4.24,1.73,4.25,3.9,1.82,3.87,3.71,1.78,4.6,4.0,1.86,4.0,3.75,1.75
Finland,Veikkausliiga,2025,27/09/2025,15:00,AC Oulu,KTP,0,2,A,2.13,3.94,3.22,2.15,4.0,3.3,2.06,3.66,3.01,2.32,4.0,3.0,2.0,3.7,3.3
Finland,Veikkausliiga,2025,27/09/2025,15:00,SJK,Inter Turku,2,1,H,3.37,3.94,2.07,3.66,4.0,1.92,3.45,3.76,1.86,4.0,4.0,1.98,3.6,3.8,1.83
Finland,Veikkausliiga,2025,28/09/2025,14:00,Jaro,Mariehamn,2,3,A,1.84,4.34,3.81,1.85,4.2,3.85,1.78,3.86,3.69,1.86,4.4,4.0,1.85,3.9,3.6
Finland,Veikkausliiga,2025,29/09/2025,17:00,HJK,Ilves,2,2,D,2.26,3.98,2.94,2.25,3.95,2.85,2.17,3.76,2.73,2.3,4.0,3.05,2.25,3.7,2.75
Finland,Veikkausliiga,2025,03/10/2025,16:00,Jaro,Haka,2,1,H,2.91,4.03,2.26,3.0,3.8,2.23,2.79,3.66,2.18,3.05,4.1,2.3,2.8,3.8,2.15
Finland,Veikkausliiga,2025,03/10/2025,17:00,HJK,Gnistan,2,3,A,1.35,5.83,7.75,1.36,5.75,8.0,1.32,5.34,6.88,1.37,6.4,8.0,1.36,5.25,6.0
Finland,Veikkausliiga,2025,04/10/2025,13:00,AC Oulu,VPS,2,0,H,2.19,3.7,3.25,2.2,3.75,3.1,2.15,3.48,2.95,2.24,3.85,3.3,2.1,3.75,2.9
