Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Norway,Eliteserien,2025,22/08/2025,18:00,KFUM Oslo,HamKam,2,2,D,1.63,3.92,5.98,1.65,3.95,6.0,1.61,3.64,5.39,1.68,3.8,6.6,1.57,3.75,6.0
Norway,Eliteserien,2025,24/08/2025,13:30,Haugesund,Valerenga,2,3,A,5.96,4.74,1.52,6.5,4.8,1.51,5.5,4.51,1.47,6.6,4.9,1.54,5.5,4.75,1.48
Norway,Eliteserien,2025,24/08/2025,16:00,Bryne,Stromsgodset,2,2,D,1.93,3.69,4.08,1.93,3.9,4.2,1.86,3.62,3.72,1.98,3.8,4.2,1.85,3.75,3.8
Norway,Eliteserien,2025,24/08/2025,18:15,Molde,Tromso,2,0,H,2.24,3.57,3.26,2.25,3.5,3.4,2.09,3.4,3.21,2.18,3.65,3.6,2.1,3.5,3.3
Norway,Eliteserien,2025,25/08/2025,18:00,Sarpsborg 08,Kristiansund,0,1,A,1.64,4.39,5.08,1.73,4.6,4.33,1.68,4.18,4.05,1.78,4.3,4.6,1.73,4.1,4.2
Norway,Eliteserien,2025,30/08/2025,17:00,Valerenga,Bryne,3,2,H,1.7,4.22,4.77,1.62,4.5,5.0,1.58,4.15,4.75,1.65,4.5,5.5,1.62,4.2,4.75
Norway,Eliteserien,2025,31/08/2025,13:30,Kristiansund,Brann,2,2,D,4.8,4.41,1.67,4.5,4.35,1.75,4.19,3.96,1.69,4.6,4.3,1.8,4.33,4.0,1.7
Norway,Eliteserien,2025,31/08/2025,16:00,Fredrikstad,Haugesund,2,2,D,1.3,6.07,9.81,1.33,6.1,9.5,1.28,5.41,8.68,1.33,5.9,10.5,1.27,5.5,8.5
Norway,Eliteserien,2025,31/08/2025,16:00,HamKam,Sarpsborg 08,1,3,A,2.52,3.79,2.68,2.38,3.8,2.9,2.29,3.45,2.78,2.48,3.65,3.05,2.32,3.6,2.75
Norway,Eliteserien,2025,31/08/2025,16:00,Sandefjord,Bodo/Glimt,1,2,A,5.32,4.98,1.55,5.5,5.2,1.51,5.21,4.7,1.47,6.0,5.2,1.54,5.5,4.5,1.46
Norway,Eliteserien,2025,31/08/2025,16:00,Tromso,KFUM Oslo,2,0,H,1.97,3.39,4.31,1.98,3.4,4.33,1.91,3.2,4.06,2.0,3.4,4.7,1.91,3.3,4.1
Norway,Eliteserien,2025,31/08/2025,16:00,Viking,Rosenborg,2,1,H,1.66,4.45,4.82,2.0,4.2,3.5,1.94,3.81,3.28,2.02,4.0,3.8,1.91,3.8,3.5
Norway,Eliteserien,2025,31/08/2025,18:15,Stromsgodset,Molde,3,1,H,3.61,3.94,1.99,3.75,4.2,1.89,3.5,3.89,1.85,3.85,4.2,1.95,3.7,3.9,1.85
Norway,Eliteserien,2025,12/09/2025,18:00,Bodo/Glimt,Kristiansund,7,1,H,1.14,10.28,16.5,1.15,8.75,15.5,1.13,8.08,14.1,1.16,10.5,22.0,1.14,8.5,13.0
Norway,Eliteserien,2025,13/09/2025,15:00,Molde,Fredrikstad,1,2,A,1.73,3.95,4.9,1.83,3.9,4.5,1.77,3.68,4.07,1.87,3.95,4.7,1.8,3.9,3.9
Norway,Eliteserien,2025,13/09/2025,17:00,Brann,Valerenga,3,2,H,1.56,4.82,5.42,1.55,4.8,5.75,1.49,4.51,5.19,1.58,5.0,5.7,1.48,4.75,5.75
Norway,Eliteserien,2025,14/09/2025,13:30,Bryne,Tromso,0,2,A,3.43,3.47,2.2,4.0,3.45,2.05,3.65,3.26,1.98,4.1,3.5,2.1,4.0,3.3,1.95
Norway,Eliteserien,2025,14/09/2025,16:00,HamKam,Stromsgodset,1,2,A,2.27,3.64,3.14,2.3,3.7,3.0,2.21,3.46,2.88,2.4,3.7,3.1,2.3,3.4,3.0
Norway,Eliteserien,2025,14/09/2025,16:00,Sarpsborg 08,Sandefjord,2,1,H,2.42,3.94,2.73,2.23,4.0,3.0,2.12,3.77,2.88,2.22,4.1,3.15,2.15,3.8,3.0
Norway,Eliteserien,2025,14/09/2025,16:02,KFUM Oslo,Viking,2,2,D,2.88,3.5,2.5,2.9,3.5,2.45,2.81,3.28,2.35,3.0,3.6,2.52,2.88,3.25,2.45
Norway,Eliteserien,2025,14/09/2025,18:15,Haugesund,Rosenborg,0,3,A,7.66,5.37,1.39,7.5,5.25,1.4,6.63,4.8,1.38,8.0,5.5,1.43,6.25,5.25,1.4
