Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Romania,Superliga,2025/2026,22/08/2025,17:00,UTA Arad,Unirea Slobozia,1,1,D,1.85,3.71,4.14,1.83,3.8,4.2,1.78,3.61,3.92,1.89,3.75,4.8,1.8,3.7,3.8
Romania,Superliga,2025/2026,22/08/2025,19:30,Metaloglobus Bucharest,FC Rapid Bucuresti,1,2,A,8.04,4.89,1.38,8.0,4.9,1.44,7.22,4.43,1.38,9.2,4.8,1.45,6.5,4.33,1.4
Romania,Superliga,2025/2026,23/08/2025,16:45,FC Botosani,Csikszereda M. Ciuc,3,1,H,1.9,3.42,4.33,2.0,3.5,4.35,1.9,3.28,3.84,2.02,3.35,4.4,1.91,3.2,3.7
Romania,Superliga,2025/2026,23/08/2025,19:30,U. Cluj,Din. Bucuresti,0,1,A,2.34,3.3,3.15,2.45,3.4,3.05,2.3,3.22,2.9,2.52,3.3,3.2,2.35,3.3,2.75
Romania,Superliga,2025/2026,24/08/2025,14:15,Otelul,CFR Cluj,4,1,H,3.71,3.05,2.22,3.45,3.25,2.28,3.11,3.13,2.21,3.45,3.15,2.44,3.1,3.2,2.2
Romania,Superliga,2025/2026,24/08/2025,16:30,Univ. Craiova,Petrolul,2,0,H,1.74,3.59,5.05,1.79,3.65,5.0,1.71,3.46,4.53,1.77,3.65,5.5,1.7,3.5,4.75
Romania,Superliga,2025/2026,24/08/2025,19:30,FCSB,FC Arges,0,2,A,1.68,3.82,5.19,1.57,4.0,6.33,1.55,3.83,5.44,1.61,4.0,7.4,1.53,4.0,5.25
Romania,Superliga,2025/2026,25/08/2025,17:00,FC Hermannstadt,Farul Constanta,1,0,H,2.3,3.16,3.37,2.55,3.2,3.0,2.4,3.07,2.86,2.7,3.25,3.05,2.55,2.9,2.8
Romania,Superliga,2025/2026,29/08/2025,18:30,FC Rapid Bucuresti,UTA Arad,2,0,H,1.65,4.07,5.02,1.62,4.2,5.5,1.56,3.94,5.04,1.62,4.4,6.0,1.55,3.9,5.0
Romania,Superliga,2025/2026,30/08/2025,16:45,Unirea Slobozia,U. Cluj,0,1,A,3.81,3.25,2.09,4.33,3.4,2.07,3.61,3.19,1.99,4.3,3.25,2.08,3.6,3.3,1.91
Romania,Superliga,2025/2026,30/08/2025,19:30,Din. Bucuresti,FC Hermannstadt,2,0,H,1.92,3.36,4.34,2.0,3.45,4.0,1.92,3.25,3.79,2.0,3.4,4.5,1.91,3.3,3.6
Romania,Superliga,2025/2026,31/08/2025,14:00,FC Arges,Metaloglobus Bucharest,2,1,H,1.62,3.67,6.18,1.57,3.9,7.0,1.53,3.74,5.93,1.6,3.9,7.4,1.5,3.75,6.0
Romania,Superliga,2025/2026,31/08/2025,16:30,FC Botosani,Univ. Craiova,1,1,D,3.42,3.36,2.18,3.15,3.45,2.36,2.97,3.27,2.23,3.3,3.3,2.4,2.8,3.3,2.3
Romania,Superliga,2025/2026,31/08/2025,19:30,CFR Cluj,FCSB,2,2,D,2.49,3.09,3.1,2.55,3.35,3.1,2.42,3.12,2.81,2.6,3.15,3.25,2.38,3.1,2.9
Romania,Superliga,2025/2026,01/09/2025,16:00,Csikszereda M. Ciuc,Otelul,1,1,D,3.5,3.21,2.22,3.5,3.2,2.25,3.2,3.12,2.17,3.7,3.2,2.34,3.3,3.2,2.15
Romania,Superliga,2025/2026,01/09/2025,19:00,Farul Constanta,Petrolul,2,1,H,2.1,3.32,3.69,2.05,3.55,4.2,1.92,3.29,3.77,1.99,3.45,4.5,1.9,3.4,3.8
Romania,Superliga,2025/2026,12/09/2025,19:00,U. Cluj,FC Rapid Bucuresti,0,0,D,2.35,3.03,3.41,2.38,3.15,3.4,2.32,2.99,3.02,2.48,3.1,3.5,2.35,3.0,2.9
Romania,Superliga,2025/2026,13/09/2025,14:00,UTA Arad,FC Arges,3,3,D,2.68,3.27,2.72,2.63,3.2,3.0,2.53,3.04,2.69,2.82,3.1,2.9,2.5,3.1,2.7
Romania,Superliga,2025/2026,13/09/2025,19:30,Metaloglobus Bucharest,CFR Cluj,1,1,D,7.24,4.42,1.45,6.5,3.9,1.62,5.77,3.69,1.54,6.6,4.1,1.63,6.5,3.5,1.53
Romania,Superliga,2025/2026,14/09/2025,13:45,Otelul,FC Botosani,0,1,A,2.2,3.1,3.69,2.2,3.25,3.5,2.13,3.08,3.33,2.32,3.1,3.9,2.1,3.25,3.25
Romania,Superliga,2025/2026,14/09/2025,16:00,Univ. Craiova,Farul Constanta,2,0,H,1.72,4.08,4.45,1.9,3.8,3.9,1.84,3.6,3.68,1.94,3.85,4.1,1.85,3.8,3.4
Romania,Superliga,2025/2026,14/09/2025,19:00,Csikszereda M. Ciuc,FCSB,1,1,D,7.93,4.88,1.39,7.0,4.6,1.44,6.65,4.31,1.41,7.0,4.9,1.5,7.0,3.9,1.44
Romania,Superliga,2025/2026,15/09/2025,16:00,FC Hermannstadt,Unirea Slobozia,0,2,A,1.88,3.21,4.81,1.91,3.45,4.75,1.86,3.22,4.06,1.93,3.4,5.2,1.83,3.25,4.2
Romania,Superliga,2025/2026,15/09/2025,19:00,Petrolul,Din. Bucuresti,0,3,A,3.58,3.26,2.16,3.95,3.25,2.1,3.63,3.1,2.02,4.3,3.25,2.14,3.5,3.25,2.0
Romania,Superliga,2025/2026,19/09/2025,18:30,FC Botosani,FCSB,3,1,H,4.67,3.72,1.76,4.6,4.0,1.84,4.07,3.66,1.75,4.4,3.9,1.9,4.2,3.75,1.8
Romania,Superliga,2025/2026,20/09/2025,16:45,FC Arges,U. Cluj,1,0,H,3.38,2.79,2.54,3.15,3.0,2.6,2.99,2.82,2.47,3.2,2.92,2.8,3.0,3.0,2.45
Romania,Superliga,2025/2026,20/09/2025,19:00,Otelul,Univ. Craiova,1,0,H,3.5,3.26,2.19,3.5,3.4,2.2,3.2,3.23,2.14,3.65,3.3,2.28,3.4,3.25,2.2
Romania,Superliga,2025/2026,21/09/2025,14:00,Unirea Slobozia,Petrolul,1,0,H,2.76,2.86,2.98,2.8,2.9,2.95,2.6,2.87,2.78,3.0,2.94,2.92,2.8,2.88,2.8
Romania,Superliga,2025/2026,21/09/2025,16:15,CFR Cluj,UTA Arad,1,1,D,1.65,3.95,5.26,1.67,4.0,5.33,1.62,3.73,4.82,1.73,4.0,5.6,1.67,3.9,5.0
Romania,Superliga,2025/2026,21/09/2025,19:00,FC Rapid Bucuresti,FC Hermannstadt,1,2,A,1.93,3.41,4.19,1.9,3.6,4.5,1.84,3.41,3.89,1.92,3.55,4.8,1.9,3.6,3.8
Romania,Superliga,2025/2026,22/09/2025,16:00,Csikszereda M. Ciuc,Metaloglobus Bucharest,2,2,D,2.21,3.27,3.46,2.14,3.6,4.2,1.92,3.36,3.72,2.0,3.55,4.3,1.8,3.6,4.2
Romania,Superliga,2025/2026,22/09/2025,19:00,Din. Bucuresti,Farul Constanta,1,1,D,1.8,3.61,4.58,1.92,3.65,4.25,1.82,3.48,3.89,1.95,3.7,4.5,1.85,3.4,4.2
Romania,Superliga,2025/2026,26/09/2025,16:00,FC Hermannstadt,FC Arges,0,1,A,2.31,2.95,3.61,2.3,3.1,3.4,2.24,2.99,3.23,2.42,3.15,3.6,2.25,3.1,3.2
Romania,Superliga,2025/2026,26/09/2025,19:00,Univ. Craiova,Din. Bucuresti,2,2,D,2.17,3.46,3.35,2.15,3.45,3.75,2.0,3.3,3.44,2.12,3.35,4.1,2.0,3.4,3.5
Romania,Superliga,2025/2026,27/09/2025,13:00,UTA Arad,Csikszereda M. Ciuc,0,0,D,1.65,3.98,5.14,1.65,4.0,5.33,1.62,3.73,4.79,1.7,4.1,5.4,1.65,3.8,4.75
Romania,Superliga,2025/2026,27/09/2025,18:30,Petrolul,FC Rapid Bucuresti,0,1,A,3.35,3.12,2.33,3.65,3.2,2.28,3.3,3.08,2.15,3.6,3.15,2.32,3.25,3.2,2.2
Romania,Superliga,2025/2026,28/09/2025,15:30,Farul Constanta,Unirea Slobozia,1,1,D,1.45,4.59,6.99,1.6,4.5,7.0,1.46,4.22,5.99,1.48,4.9,7.6,1.45,4.33,6.0
Romania,Superliga,2025/2026,28/09/2025,18:30,FCSB,Otelul,1,0,H,1.6,4.03,5.61,1.55,4.2,6.0,1.53,3.84,5.6,1.57,4.1,7.4,1.55,4.1,5.25
Romania,Superliga,2025/2026,29/09/2025,16:00,Metaloglobus Bucharest,FC Botosani,0,2,A,3.96,3.34,2.01,3.75,3.5,2.1,3.51,3.29,2.0,4.1,3.4,2.12,3.5,3.5,2.0
