Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Switzerland,Super League,2025/2026,23/08/2025,17:00,Zurich,Thun,0,4,A,2.11,3.54,3.6,2.28,3.55,3.3,2.2,3.43,2.96,2.36,3.6,3.2,2.2,3.5,3.0
Switzerland,Super League,2025/2026,24/08/2025,13:00,Grasshoppers,Winterthur,2,2,D,2.08,3.53,3.71,2.05,3.6,3.6,2.01,3.46,3.28,2.16,3.6,3.6,2.05,3.5,3.4
Switzerland,Super League,2025/2026,24/08/2025,15:30,St. Gallen,Luzern,0,1,A,2.16,3.65,3.37,2.1,3.75,3.5,1.98,3.58,3.23,2.14,3.85,3.55,2.0,3.6,3.5
Switzerland,Super League,2025/2026,30/08/2025,17:00,Thun,Grasshoppers,1,1,D,1.88,3.94,3.98,1.88,3.95,4.2,1.8,3.76,3.82,1.84,4.1,4.5,1.76,3.8,4.1
Switzerland,Super League,2025/2026,30/08/2025,17:00,Winterthur,Zurich,1,3,A,3.34,3.68,2.16,3.4,3.85,2.16,3.16,3.59,2.04,3.4,3.75,2.2,3.4,3.7,2.01
Switzerland,Super League,2025/2026,30/08/2025,19:30,Sion,Basel,0,1,A,4.04,4.1,1.84,4.0,3.95,2.1,3.22,3.66,2.0,3.5,3.75,2.16,3.2,3.7,2.05
Switzerland,Super League,2025/2026,31/08/2025,13:00,Lausanne,St. Gallen,1,2,A,2.36,3.6,3.02,2.25,3.75,3.14,2.15,3.48,2.96,2.26,3.65,3.45,2.1,3.5,3.1
Switzerland,Super League,2025/2026,31/08/2025,15:30,Servette,Luzern,2,2,D,2.36,3.77,2.9,2.45,3.75,2.7,2.39,3.55,2.58,2.62,3.75,2.82,2.4,3.6,2.57
Switzerland,Super League,2025/2026,31/08/2025,15:30,Young Boys,Lugano,3,1,H,1.99,3.68,3.86,2.05,3.9,3.6,1.98,3.61,3.3,2.12,3.75,3.75,1.96,3.6,3.4
Switzerland,Super League,2025/2026,13/09/2025,17:00,Thun,Basel,1,3,A,3.51,3.94,2.02,3.25,3.85,2.12,3.04,3.73,2.03,3.35,4.0,2.14,3.25,3.8,1.96
Switzerland,Super League,2025/2026,13/09/2025,17:00,Zurich,Servette,2,1,H,2.34,3.76,2.94,2.5,3.7,3.0,2.26,3.59,2.73,2.6,3.8,2.72,2.1,3.7,3.0
Switzerland,Super League,2025/2026,13/09/2025,19:30,St. Gallen,Lugano,1,0,H,2.21,3.54,3.35,2.45,3.55,3.05,2.33,3.34,2.78,2.52,3.5,3.05,2.45,3.4,2.57
Switzerland,Super League,2025/2026,14/09/2025,13:00,Winterthur,Sion,2,3,A,3.93,3.59,1.99,3.75,3.55,2.0,3.48,3.43,1.96,3.9,3.55,2.12,3.6,3.5,1.96
