Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
China,Super League,2025,20/08/2025,12:35,Zhejiang Professional,Tianjin Jinmen Tiger,2,0,H,1.68,4.12,4.84,1.66,4.5,5.66,1.55,4.25,4.85,1.59,4.7,5.8,1.53,4.5,5.5
China,Super League,2025,23/08/2025,12:35,Qingdao Hainiu,Shanghai Shenhua,0,2,A,7.67,5.12,1.39,7.5,5.4,1.38,6.93,5.08,1.34,9.0,5.8,1.38,6.5,5.25,1.38
China,Super League,2025,23/08/2025,12:35,Yunnan Yukun,Chengdu Rongcheng,1,5,A,5.59,4.27,1.58,7.0,5.0,1.44,6.24,4.73,1.4,7.2,5.2,1.47,6.0,5.0,1.44
China,Super League,2025,24/08/2025,12:00,Changchun Yatai,Shenzhen Xinpengcheng,1,0,H,2.39,3.5,2.98,3.0,3.6,2.55,2.74,3.43,2.33,2.96,3.6,2.52,3.0,3.5,2.3
China,Super League,2025,24/08/2025,12:00,Meizhou Hakka,Zhejiang Professional,2,2,D,3.14,3.95,2.14,3.25,4.0,2.05,3.11,3.81,1.99,3.35,4.1,2.1,3.25,4.0,2.0
China,Super League,2025,24/08/2025,12:00,Shanghai Port,Tianjin Jinmen Tiger,1,1,D,1.29,5.91,9.16,1.32,6.5,11.0,1.24,5.96,9.04,1.26,7.4,13.0,1.22,6.5,10.0
China,Super League,2025,24/08/2025,12:35,Henan Songshan Longmen,Dalian Yingbo,4,0,H,1.65,4.12,5.15,1.6,4.5,5.5,1.55,4.1,5.06,1.61,4.5,5.9,1.55,4.5,5.25
China,Super League,2025,24/08/2025,13:00,Shandong Taishan,Qingdao West Coast,3,2,H,1.36,5.34,8.01,1.33,5.6,9.5,1.28,5.38,8.29,1.34,6.2,10.0,1.33,5.25,8.5
China,Super League,2025,25/08/2025,13:00,Beijing Guoan,Wuhan Three Towns,4,0,H,1.34,5.68,8.17,1.32,6.25,8.5,1.28,5.7,7.67,1.31,6.8,10.0,1.29,6.25,8.0
China,Super League,2025,29/08/2025,12:00,Qingdao Hainiu,Henan Songshan Longmen,1,1,D,2.83,3.95,2.31,5.0,5.0,1.73,4.38,4.4,1.59,5.0,5.0,1.63,4.5,5.0,1.51
China,Super League,2025,30/08/2025,12:35,Chengdu Rongcheng,Shanghai Port,4,1,H,1.77,4.15,3.86,1.74,4.35,4.75,1.65,4.08,4.23,1.71,4.4,5.1,1.61,4.2,4.75
China,Super League,2025,30/08/2025,13:00,Yunnan Yukun,Changchun Yatai,1,1,D,1.81,4.32,3.88,1.74,4.75,4.5,1.65,4.26,4.06,1.65,4.8,4.9,1.48,4.75,4.5
