Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Mexico,Liga MX,2025/2026,23/08/2025,02:00,Juarez,Santos Laguna,2,1,H,1.63,4.13,5.48,1.65,4.1,5.33,1.6,3.95,4.92,1.69,4.2,5.7,1.65,4.1,5.25
Mexico,Liga MX,2025/2026,23/08/2025,02:00,Queretaro,Atl. San Luis,3,2,H,3.24,3.36,2.34,3.4,3.5,2.28,3.12,3.31,2.17,3.6,3.45,2.28,3.4,3.5,2.15
Mexico,Liga MX,2025/2026,23/08/2025,04:00,Club Tijuana,Guadalajara Chivas,3,3,D,3.08,3.64,2.3,3.25,3.75,2.2,3.03,3.52,2.13,3.35,3.65,2.26,3.25,3.6,2.15
Mexico,Liga MX,2025/2026,24/08/2025,00:00,Club Leon,Pachuca,1,1,D,3.22,3.43,2.32,3.4,3.6,2.15,3.17,3.46,2.08,3.55,3.6,2.22,3.4,3.5,2.1
Mexico,Liga MX,2025/2026,24/08/2025,02:00,Mazatlan FC,Tigres UANL,2,2,D,4.57,3.82,1.8,4.2,3.6,1.91,3.94,3.51,1.84,4.4,3.75,1.93,3.9,3.6,1.91
Mexico,Liga MX,2025/2026,24/08/2025,02:00,Monterrey,Necaxa,3,0,H,1.56,4.63,5.57,1.5,4.75,6.2,1.46,4.56,5.56,1.53,4.9,6.2,1.48,4.75,6.0
Mexico,Liga MX,2025/2026,24/08/2025,04:05,Cruz Azul,Toluca,1,0,H,2.21,3.74,3.18,2.16,3.8,3.35,2.06,3.62,3.1,2.22,3.85,3.35,2.15,3.6,3.1
Mexico,Liga MX,2025/2026,25/08/2025,00:00,UNAM Pumas,Puebla,0,0,D,1.65,3.92,5.74,1.67,4.1,5.6,1.61,3.76,5.18,1.69,4.0,5.9,1.65,4.1,5.0
Mexico,Liga MX,2025/2026,25/08/2025,02:05,Atlas,Club America,2,4,A,4.75,3.87,1.76,5.25,4.1,1.67,4.83,3.89,1.62,5.7,4.1,1.68,5.25,4.1,1.62
Mexico,Liga MX,2025/2026,30/08/2025,02:00,Atl. San Luis,Toluca,1,3,A,3.98,4.19,1.83,5.5,4.75,1.62,4.93,4.23,1.55,5.7,4.7,1.6,5.0,4.75,1.47
Mexico,Liga MX,2025/2026,30/08/2025,02:00,Juarez,Mazatlan FC,1,0,H,1.85,3.54,4.71,1.66,3.9,5.66,1.62,3.67,5.03,1.71,3.9,5.9,1.53,3.9,5.5
Mexico,Liga MX,2025/2026,30/08/2025,04:05,Puebla,Monterrey,2,4,A,4.29,3.76,1.86,4.1,3.75,1.93,3.81,3.54,1.86,4.1,3.7,2.02,3.75,3.75,1.86
Mexico,Liga MX,2025/2026,31/08/2025,00:00,Club Leon,Queretaro,3,0,H,1.62,4.04,5.79,1.61,4.1,5.75,1.56,3.9,5.39,1.65,4.2,6.0,1.53,4.1,5.75
Mexico,Liga MX,2025/2026,31/08/2025,02:00,Santos Laguna,Tigres UANL,0,1,A,6.35,4.63,1.51,7.0,4.75,1.47,6.27,4.51,1.42,7.2,4.8,1.5,6.5,4.75,1.41
Mexico,Liga MX,2025/2026,31/08/2025,02:07,Guadalajara Chivas,Cruz Azul,1,2,A,2.83,3.45,2.57,3.1,3.5,2.37,2.88,3.31,2.31,3.1,3.45,2.5,3.1,3.25,2.35
Mexico,Liga MX,2025/2026,31/08/2025,04:05,Club America,Pachuca,2,0,H,2.0,3.66,3.83,2.05,3.65,3.9,1.93,3.5,3.56,2.06,3.75,3.9,1.87,3.6,3.6
Mexico,Liga MX,2025/2026,31/08/2025,23:00,UNAM Pumas,Atlas,1,0,H,1.66,3.97,5.47,1.65,4.0,5.5,1.61,3.81,5.03,1.67,4.0,6.0,1.53,3.8,5.25
