Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Russia,Premier League,2025/2026,22/08/2025,16:00,Orenburg,Akhmat Grozny,2,2,D,3.22,3.59,2.25,,,,,,,,,
Russia,Premier League,2025/2026,23/08/2025,12:00,Rubin Kazan,Spartak Moscow,0,2,A,3.54,3.62,2.1,,,,,,,,,
Russia,Premier League,2025/2026,23/08/2025,14:15,Zenit,Dynamo Makhachkala,4,0,H,1.26,5.98,13.08,,,,,,,,,
Russia,Premier League,2025/2026,23/08/2025,16:30,Lokomotiv Moscow,FK Rostov,3,3,D,1.77,3.84,4.76,,,,,,,,,
Russia,Premier League,2025/2026,23/08/2025,18:45,Dynamo Moscow,Pari NN,3,0,H,1.41,5.06,7.71,,,,,,,,,
Russia,Premier League,2025/2026,24/08/2025,13:00,Krylya Sovetov,Krasnodar,0,6,A,4.87,3.73,1.78,,,,,,,,,
Russia,Premier League,2025/2026,24/08/2025,15:30,CSKA Moscow,Akron Togliatti,3,1,H,1.47,4.81,6.78,,,,,,,,,
Russia,Premier League,2025/2026,24/08/2025,18:00,Sochi,Baltika,0,2,A,4.05,3.37,2.04,,,,,,,,,
Russia,Premier League,2025/2026,30/08/2025,12:00,Orenburg,Rubin Kazan,2,2,D,2.68,3.56,2.64,,,,,,,,,
Russia,Premier League,2025/2026,30/08/2025,14:15,Zenit,Pari NN,2,0,H,1.16,8.38,16.73,,,,,,,,,
Russia,Premier League,2025/2026,30/08/2025,16:30,Spartak Moscow,Sochi,2,1,H,1.26,5.98,11.65,,,,,,,,,
Russia,Premier League,2025/2026,30/08/2025,18:45,FK Rostov,Akhmat Grozny,1,1,D,2.22,3.28,3.58,,,,,,,,,
Russia,Premier League,2025/2026,31/08/2025,11:30,Akron Togliatti,Baltika,0,2,A,3.61,3.49,2.13,,,,,,,,,
Russia,Premier League,2025/2026,31/08/2025,13:45,Lokomotiv Moscow,Krylya Sovetov,2,2,D,1.66,4.14,5.16,,,,,,,,,
Russia,Premier League,2025/2026,31/08/2025,16:00,CSKA Moscow,Krasnodar,1,1,D,2.78,3.27,2.72,,,,,,,,,
Russia,Premier League,2025/2026,31/08/2025,18:30,Dynamo Makhachkala,Dynamo Moscow,1,0,H,3.96,3.55,2.0,,,,,,,,,
Russia,Premier League,2025/2026,12/09/2025,17:00,Rubin Kazan,Dynamo Makhachkala,1,0,H,2.02,3.3,4.22,,,,,,,,,
Russia,Premier League,2025/2026,13/09/2025,12:00,Pari NN,Orenburg,3,1,H,2.63,3.61,2.67,,,,,,,,,
Russia,Premier League,2025/2026,13/09/2025,14:45,Akhmat Grozny,Lokomotiv Moscow,1,1,D,2.59,3.39,2.84,,,,,,,,,
Russia,Premier League,2025/2026,13/09/2025,14:45,Dynamo Moscow,Spartak Moscow,2,2,D,2.96,3.25,2.58,,,,,,,,,
Russia,Premier League,2025/2026,13/09/2025,17:30,Krasnodar,Akron Togliatti,2,1,H,1.35,5.65,8.16,,,,,,,,,
Russia,Premier League,2025/2026,14/09/2025,12:30,Krylya Sovetov,Sochi,2,0,H,2.5,3.18,3.13,,,,,,,,,
Russia,Premier League,2025/2026,14/09/2025,15:00,Baltika,Zenit,0,0,D,4.95,3.4,1.85,,,,,,,,,
Russia,Premier League,2025/2026,14/09/2025,17:30,FK Rostov,CSKA Moscow,1,0,H,3.19,3.48,2.31,,,,,,,,,
Russia,Premier League,2025/2026,20/09/2025,12:30,Pari NN,Akhmat Grozny,1,2,A,3.85,3.45,2.06,,,,,,,,,
Russia,Premier League,2025/2026,20/09/2025,14:45,Akron Togliatti,Rubin Kazan,2,2,D,2.79,3.49,2.58,,,,,,,,,
Russia,Premier League,2025/2026,20/09/2025,17:30,Dynamo Makhachkala,Lokomotiv Moscow,1,1,D,3.43,3.23,2.31,,,,,,,,,
Russia,Premier League,2025/2026,21/09/2025,10:00,Orenburg,Dynamo Moscow,1,3,A,5.49,4.61,1.56,,,,,,,,,
Russia,Premier League,2025/2026,21/09/2025,12:30,Spartak Moscow,Krylya Sovetov,2,1,H,1.41,4.84,8.24,,,,,,,,,
Russia,Premier League,2025/2026,21/09/2025,15:00,Baltika,FK Rostov,0,0,D,1.98,3.41,4.24,,,,,,,,,
Russia,Premier League,2025/2026,21/09/2025,17:30,Krasnodar,Zenit,0,2,A,2.71,3.32,2.76,,,,,,,,,
Russia,Premier League,2025/2026,22/09/2025,17:00,Sochi,CSKA Moscow,1,3,A,5.57,3.95,1.65,,,,,,,,,
Russia,Premier League,2025/2026,26/09/2025,16:00,Krylya Sovetov,Dynamo Moscow,2,3,A,4.24,3.8,1.86,,,,,,,,,
Russia,Premier League,2025/2026,27/09/2025,12:00,Akhmat Grozny,Akron Togliatti,3,0,H,1.71,3.98,4.98,,,,,,,,,
Russia,Premier League,2025/2026,27/09/2025,14:30,Lokomotiv Moscow,Rubin Kazan,1,0,H,1.88,3.71,4.23,,,,,,,,,
Russia,Premier League,2025/2026,27/09/2025,17:00,FK Rostov,Krasnodar,0,0,D,3.64,3.88,1.99,,,,,,,,,
Russia,Premier League,2025/2026,27/09/2025,17:30,Zenit,Orenburg,5,2,H,1.17,8.39,15.16,,,,,,,,,
Russia,Premier League,2025/2026,28/09/2025,12:30,CSKA Moscow,Baltika,1,0,H,2.06,3.25,4.13,,,,,,,,,
Russia,Premier League,2025/2026,28/09/2025,15:00,Dynamo Makhachkala,Sochi,0,0,D,2.1,3.3,3.92,,,,,,,,,
Russia,Premier League,2025/2026,28/09/2025,17:30,Spartak Moscow,Pari NN,3,0,H,1.28,6.01,10.37,,,,,,,,,
Russia,Premier League,2025/2026,04/10/2025,11:00,Akron Togliatti,Zenit,1,1,D,8.67,5.46,1.35,,,,,,,,,
Russia,Premier League,2025/2026,04/10/2025,13:15,Rubin Kazan,Krylya Sovetov,2,0,H,2.03,3.47,3.92,,,,,,,,,
Russia,Premier League,2025/2026,04/10/2025,15:30,Krasnodar,Akhmat Grozny,2,0,H,1.65,4.14,5.29,,,,,,,,,
Russia,Premier League,2025/2026,04/10/2025,17:45,Dynamo Moscow,Lokomotiv Moscow,3,5,A,2.0,3.79,3.68,,,,,,,,,
Russia,Premier League,2025/2026,05/10/2025,10:00,Orenburg,FK Rostov,0,1,A,3.49,3.72,2.09,,,,,,,,,
Russia,Premier League,2025/2026,05/10/2025,12:15,Sochi,Pari NN,2,1,H,2.26,3.34,3.43,,,,,,,,,
