Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Sweden,Allsvenskan,2025,24/08/2025,13:00,Djurgarden,Brommapojkarna,1,0,H,1.61,4.47,5.03,1.62,4.7,5.1,1.56,4.3,4.73,1.67,4.6,5.3,1.62,4.5,4.33
Sweden,Allsvenskan,2025,24/08/2025,13:00,Sirius,Hammarby,3,1,H,4.13,4.05,1.8,4.1,4.1,1.85,3.83,3.82,1.79,4.1,4.0,1.93,4.0,3.8,1.8
Sweden,Allsvenskan,2025,24/08/2025,15:30,Degerfors,AIK,0,1,A,4.02,3.36,2.01,4.2,3.5,2.01,3.9,3.28,1.92,4.3,3.5,2.04,3.9,3.4,1.95
Sweden,Allsvenskan,2025,24/08/2025,15:30,Elfsborg,Halmstad,1,2,A,1.42,4.99,7.05,1.55,4.7,6.1,1.49,4.33,5.62,1.55,4.7,6.8,1.53,4.2,5.75
Sweden,Allsvenskan,2025,24/08/2025,15:30,Malmo FF,Goteborg,0,0,D,1.72,3.92,4.75,1.73,4.0,4.9,1.68,3.73,4.5,1.77,3.9,5.3,1.73,3.7,4.5
Sweden,Allsvenskan,2025,24/08/2025,15:30,Varnamo,Hacken,1,5,A,3.2,3.9,2.11,3.1,3.9,2.36,2.73,3.68,2.24,2.9,3.9,2.46,2.7,3.8,2.3
Sweden,Allsvenskan,2025,25/08/2025,18:00,GAIS,Mjallby,0,2,A,2.4,3.52,2.92,2.38,3.55,3.0,2.32,3.36,2.82,2.44,3.6,3.15,2.3,3.4,3.0
Sweden,Allsvenskan,2025,25/08/2025,18:00,Oster,Norrkoping,1,2,A,2.46,3.42,2.92,2.32,3.65,3.1,2.24,3.43,2.87,2.38,3.6,3.25,2.25,3.5,3.0
Sweden,Allsvenskan,2025,30/08/2025,14:00,Brommapojkarna,Elfsborg,3,0,H,2.45,3.67,2.76,2.4,3.85,2.85,2.29,3.61,2.68,2.38,3.85,3.0,2.2,3.8,2.7
Sweden,Allsvenskan,2025,30/08/2025,14:00,Goteborg,Varnamo,1,0,H,1.46,5.21,5.88,1.45,5.5,6.0,1.41,4.87,5.9,1.48,5.4,6.6,1.36,5.5,6.0
Sweden,Allsvenskan,2025,30/08/2025,16:30,Mjallby,Halmstad,1,0,H,1.46,4.65,6.77,1.44,5.1,7.5,1.39,4.56,6.83,1.46,5.0,8.2,1.33,5.0,6.0
Sweden,Allsvenskan,2025,31/08/2025,13:00,AIK,Sirius,2,1,H,1.79,3.85,4.38,1.88,3.85,4.5,1.77,3.62,4.09,1.85,3.9,4.7,1.72,3.8,4.0
Sweden,Allsvenskan,2025,31/08/2025,13:00,Malmo FF,Degerfors,1,1,D,1.34,5.35,8.96,1.3,6.0,10.0,1.27,5.38,9.2,1.29,6.2,13.5,1.24,6.0,8.0
Sweden,Allsvenskan,2025,31/08/2025,13:00,Norrkoping,Djurgarden,0,4,A,4.09,3.97,1.83,4.25,4.1,1.77,3.97,3.91,1.73,4.5,4.2,1.79,4.1,4.1,1.67
Sweden,Allsvenskan,2025,31/08/2025,15:30,GAIS,Hacken,2,1,H,1.82,4.15,3.95,1.95,4.1,3.8,1.88,3.69,3.56,2.02,3.85,3.9,1.91,3.8,3.6
Sweden,Allsvenskan,2025,31/08/2025,15:30,Hammarby,Oster,4,0,H,1.36,5.11,8.47,1.38,5.3,8.5,1.35,4.86,7.4,1.41,5.4,8.8,1.37,5.0,7.0
Sweden,Allsvenskan,2025,13/09/2025,14:00,Degerfors,Mjallby,0,1,A,4.38,3.74,1.82,4.7,4.0,1.75,4.43,3.71,1.7,4.9,3.95,1.83,4.5,3.9,1.66
Sweden,Allsvenskan,2025,13/09/2025,16:30,Halmstad,Norrkoping,1,1,D,2.88,3.24,2.59,2.75,3.3,2.66,2.67,3.21,2.5,2.84,3.45,2.7,2.75,3.2,2.5
Sweden,Allsvenskan,2025,14/09/2025,13:00,Djurgarden,Hammarby,3,3,D,2.59,3.55,2.67,3.0,3.5,2.45,2.76,3.31,2.36,3.0,3.6,2.52,3.0,3.25,2.35
